,abbreviation,alt_color,color,conference,division,logos,mascot,school
1029,,,,,,,,Falls of Schuylkill
1030,,,,,,,,Farragut Navy
1031,FINL,,,,,,Lions,Finlandia University
1032,,,,,,,,Fishburne M.A.
1033,,,,,,,,Fitchburg YMCA
1034,,,,,,,,Fleet City
1035,,,,,,,,Florence YMCA
1036,,,,,,,,Florida Southern
1037,,,,,,,Doughboys,Fort Benning
1038,,,,,,,,Fort Bliss
1039,,,,,,,,Fort Bragg
1040,,,,,,,,Fort Des Moines
1041,,,,,,,,Fort Douglas
1042,,,,,,,,Fort Ethan Allen
1043,,,,,,,,Fort Jackson
1044,,,,,,,,Fort Knox
1045,,,,,,,,Fort Leavenworth
1046,,,,,,,,Fort Lewis College
1047,,,,,,,,Fort Monmouth
1048,,,,,,,,Fort Monroe
1049,,,,,,,,Fort Oglethorpe
1050,,,,,,,,Fort Ord
1051,,,,,,,,Fort Pierce
1052,,,,,,,Centaurs,Fort Riley
1053,,,,,,,,Fort Sheridan
1054,,,,,,,,Fort Totten
1055,,,,,,,Broncos,Fort Warren
1056,,,,,,,,Fort Worth
1057,,,,,,,,Foundation
1058,,,,,,,,Frederick
1059,,,,,,,,Freeport High
1060,,,,,,,,Fremont Ammuntion
1061,,,,,,,,Fresno State JV
